bank_name,year,quarter,fiscal_quarter,car,cost_to_income,debt_to_equity,liquidity_coverage,npa_ratio,roa,crisis_label
AU SMALL FINANCE BANK,2016,Q1,FY2016-Q1,19.5555,51.6639,10.1705,127.7179,1.0612,2.452,0
AU SMALL FINANCE BANK,2016,Q2,FY2016-Q2,19.4421,37.8196,7.7537,124.2046,1.1533,2.2711,0
AU SMALL FINANCE BANK,2016,Q3,FY2016-Q3,19.4609,27.7666,5.9479,122.0377,1.212,2.1687,0
AU SMALL FINANCE BANK,2016,Q4,FY2016-Q4,19.5996,21.3599,4.7095,121.0,1.2433,2.1318,0
AU SMALL FINANCE BANK,2017,Q1,FY2017-Q1,19.0349,17.4747,3.6694,122.0745,1.3222,1.9024,0
AU SMALL FINANCE BANK,2017,Q2,FY2017-Q2,19.1446,16.1381,3.3242,122.6441,1.3025,1.9571,0
AU SMALL FINANCE BANK,2017,Q3,FY2017-Q3,19.3369,16.4755,3.3048,123.6916,1.2741,2.0379,0
AU SMALL FINANCE BANK,2017,Q4,FY2017-Q4,19.5996,18.2859,3.5607,125.0,1.2433,2.1318,0
AU SMALL FINANCE BANK,2018,Q1,FY2018-Q1,19.1093,25.5505,5.054,127.8521,1.2849,1.9809,0
AU SMALL FINANCE BANK,2018,Q2,FY2018-Q2,19.2437,28.0303,5.6125,129.0309,1.2528,2.0617,0
AU SMALL FINANCE BANK,2018,Q3,FY2018-Q3,19.4113,29.9684,6.1986,129.8192,1.2368,2.1164,0
AU SMALL FINANCE BANK,2018,Q4,FY2018-Q4,19.5996,31.4028,6.7811,130.0,1.2433,2.1318,0
AU SMALL FINANCE BANK,2019,Q1,FY2019-Q1,18.9977,31.3786,8.0053,128.8857,1.3476,1.7142,0
AU SMALL FINANCE BANK,2019,Q2,FY2019-Q2,19.0454,30.4678,8.3936,128.1072,1.3601,1.6438,0
AU SMALL FINANCE BANK,2019,Q3,FY2019-Q3,19.2254,28.9316,8.6465,127.6252,1.3418,1.5783,0
AU SMALL FINANCE BANK,2019,Q4,FY2019-Q4,19.5996,27.7569,8.8108,128.0,1.2629,1.5466,0
AU SMALL FINANCE BANK,2020,Q1,FY2020-Q1,20.1707,27.6294,8.8284,134.1238,1.026,1.4779,0
AU SMALL FINANCE BANK,2020,Q2,FY2020-Q2,20.762,27.1316,8.7611,136.7151,0.8564,1.5685,0
AU SMALL FINANCE BANK,2020,Q3,FY2020-Q3,21.4983,26.8182,8.5622,139.8238,0.7525,1.7085,0
AU SMALL FINANCE BANK,2020,Q4,FY2020-Q4,22.3198,27.1049,8.2892,143.0,0.793,1.8914,0
AU SMALL FINANCE BANK,2021,Q1,FY2021-Q1,22.6368,29.5308,7.6074,148.2127,1.5092,2.0645,0
AU SMALL FINANCE BANK,2021,Q2,FY2021-Q2,23.1655,29.9148,7.2497,150.3074,1.7956,2.2984,0
AU SMALL FINANCE BANK,2021,Q3,FY2021-Q3,23.5549,30.1266,6.9438,151.3483,2.0475,2.4936,0
